complaints_text_massachusetts,complaints_text_arizona
"After settling into our new home, my fiance and I, after 3 years, decided to finally get cable (we both work all day, so cable did not seem like a necessity). Because of our location, only 2 cable providers were available, Comcast and Dish Network. We called Comcast first to hear of any deals, and the sales rep told us of an 89.99 deal they were running. Only wanting a few channels, the sales rep asked us to name channels that we want so he could match a package to us. We named HGTV, Travel Channel, Food Network, as well as a few children's channels. He named a $54.99 package with 75 mbps internet and all of the channels we named included in the package. This sounded like the perfect deal!Before getting off the phone my fiance asked for the full price (including taxes) and the sales rep said it would be $54.99 plus an extra $10/month for the router and modem. We decided to just buy the router and modem to avoid the $10/month, knowing that, he gave us a price of roughly around $61/month. Perfect! Today they came to install everything, and excited to come home and settle in after work, I flipped through the channels to find the channels that were promised not available.We immediately called Comcast customer service and they stated that the 'economy plan' that we were apart of did not include the channels we named. We were also informed that we would be paying an extra $10/month for HD, and we DID NOT agree to this! The original sales rep just 'yessed and okayed' everything we asked for and completely misinterpreted the deal to us to get up to buy his product. This is NOT fair. This is NOT ok. Had we known the channels we wanted were not included, we would have never gotten cable. It is not a necessity for us, it is a luxury. The sales rep falsely advertised what he was selling to us. The customer service rep had nothing to say other than she will waive the installation fees. I have read MANY complaints online of people who have gone through the same thing as we have. Comcast sales reps need to be honest and upfront to their consumers!",
"We had a very nice installer put Xfinity DVR service for 3 rooms into our house yesterday. It worked great for that afternoon. Last night a recording showed oddness (stalling and hard to restart), then this afternoon the DVR box went into a reboot loop. It shuts off, goes through its boot process, gets a bit into that, then does it again and again. That is not the reason for this review - that is a piece of new computer hardware and they break usually very soon after turning them on if they are going to break. BUT we called customer service and told them we have been a customer for about 24 hours and the box broke. They said, ""No repair person will be available for 5 days"". 5 days?? This is the cheapest crap box company I have ever known. They do not hire sufficient techs, they don't offer refunds etc. If you have a choice, DONT use them!",
"I wrote a few days ago about the unbelievably poor customer service I have been receiving regarding unwarranted charges to my account. I still have a $496 charge when my costs should have been $109. Everyone admits the problem is on their end, but in over 10 days, no refund. I will continue writing all over the internet until something changes. NO COMPANY should be in business with a 0% customer service satisfaction. BTW, the better customer service number is 800 266 2278. If you call 800XFINITY you get the Philippines. At least I get to speak with someone here in this country and someone who will offer a direct line# when you have problems that have been as outrageously unresolved as I have.Now I have no service and called CS again yesterday. First I was told ""there is NO SUCH THING as SAME DAY SERVICE...."" then I was given a choice of between 8A to 10A or 10A to 12N for today. I chose the latter. I called at 11:40A because we hadn't even received the advance phone call. I was told he updated and said he would be there between 11:30A and 12N. At 12:39, I called again and was told I was RESCHEDULED now between 1P and 3P with expected arrival between 2P and 2:30P....no phone call....RESCHEDULED arrival??? They said they had me down for 8A to 10A, which makes this new time even MORE EGREGIOUS. What's wrong with this company? How do you ever stay in business? I now had to reschedule to TUESDAY because of appointments on Monday. My tenant has been without TV and internet since FRIDAY. Does anyone at this company even care? I have at least 4 ticket numbers that I have taken the time to save. With the other calls I just asked them ""What difference would it make?"" I was told ""none."" If you have a choice, go with Verizon Fios or any other company. ",
"I recently called Comcast just to activate internet only because I was going to go with DirecTV. The rep told me that I would pay less if I bundled internet and cable. I asked him to explain the packages to me which he did. He told me that I could get 75 Mbps plus 2 DVR's and one cable box all for $126.90 TOTAL including ALL fees. Guess what? Boxes came yesterday and internet is only 25 Mbps and my bill is $154. When I called CS, they told me that they are not responsible for what their rep discusses over the phone??? How is that possible? I was told that if I wanted 75 Mbps, there would be an extra fee of $10. I asked if they record the conversations and they said they did not know who I spoke with. This just doesn't seem right. If we aren't satisfied for any reason within 30 days, we can cancel.",
"My mother's phone was out and I called for service, saying she is 97 years old and needs a phone at all times. The service people checked the connection and said that indeed, she DID need a technician and that on an emergency basis, they would get one out the next day. I went to her home which is in a retirement community to wait. After a couple of hours, I decided to call them to make sure they knew where it was, and get an update from them.I got on the automated service, gave my phone number, and they told me they would be there within the next half hour. ""Great,"" I thought. Then the automated service said, ""Do you want to cancel this appointment?"" I said, ""NO!"" The automated voice came back and said, ""Your appointment is canceled."" Needless to say, I was very upset. It took me eight minutes to get to a real person after that, and they said that there was NOTHING they could do about this. They would send another technician out tomorrow. This was totally unacceptable and unbelievable to me. SO close and yet SO far away. When I called customer service again this morning, it was more of the same. No recompense except for the two days that her service was out. Her service had been out for a few days previous to this, but they did not count this because no one had called to complain. I still feel violated for hours of my time.",
"Comcast for some reason credited our account for 1704.00 for 3 months in which time I was receiving bills saying No Payment Due but they then reversed the credit and billed me for all 3 months at once. Not sure if this is legal but contacted Customer Service and he just kept saying, ""I have no idea what happened but your bill is correct now,"" so I contacted Corporate Office. They stated that someone would call me by the end of the day in which they didn't, so I called again today got a woman who said, ""Well your issue was resolved. The credit was an error so we have fixed your account and you now owe the three months you weren't billed for."" I asked her how their mess up was fair to us. She said, ""Well it's your bill and you owe it! It was a mistake and it has been dealt with. It was done in error. I don't know who did it and why but it's over.""They are without a doubt the worst Company to have to deal with!!! They should be investigated because they do things that are so illegal... i.e. calling and leaving lengthy messages regarding overdue bills stating how much is owed and what will happen if you don't pay the overdue amount, yet when I called to complain about that I was told that ""FINE we will put you on the do not call list and if your phone gets shut off don't blame us"" and then dial tone!!! RUDE and illegal leaving personal information on an answering machine when again I called Corporate they stated they don't go by Mass Laws... Really I guess they are special...",
"I have been a customer for nearly 2 years. This company’s ONLY time of good prices is for the initial time period of a contract. After that the shake down begins, but also the service is HORRENDOUS!!! Very intermittent, never at the level that you are promised, but they charge you for it and brag about themselves as if their ads matter more than what they deliver. They beat you into submission because the only alternative is to block out five plus hours of your day for an incompetent technician to show up and basically change NOTHING... I know that most of the people using Comcast have no other choice or they wouldn't be here using it. This is the way it is. Like mafia the companies each mark out their territories and do their shakedowns... This is the one thing you can rely on with their services. You will be shaken down... period.Their service sucks. It is advisable to be very creative in your search for services before getting involved with them. It will become a headache you wish to avoid in no time at all. Wait lines for complaints are so long. This way the majority of us hang up before they have to be accountable... and like I say their technicians haven't got a clue what they are doing so a visit to your house is just a reminder of who is in charge so long as you are getting service from them.There are no basic services that are affordable. All there are is supposedly discounted services for the first year, which are high even to begin with, and then they trump up to ridiculous levels as the contract runs out. If only what they promised was what you got, but it isn't and trying to explain that, or get credits for it, well you have to put up with more home visits from their incompetent techs before they even talk to you about it. Their business relies on your not having a backup plan or ability to switch out. Don't go with this company. Try some creative start up. They just want your money through whatever creative means they can get it. Their services suck and are nothing to rely on, and nothing like as advertised!!!",
After reading a few reviews I had to write my own because I have run into the same problem. I have had Comcast for 7 months now and all I wanted to do was a simple address change and before I began Comcast put a random number on my account without asking me for one and they said they tried to contact me multiple times. So after I put the request to change to address I received a call from a lady named Andrea from the activation team stating I have a past due account from 2012 where I had cable for barely 2 months and before I switch my account I have to pay for it. 2012 I have no recollection of this and let me remind you I had service for 7 months. Paid on time and everything and paid off a previously owed bill. Long story short this Andrea lady put a block on my apartment so my roommate cannot get cable either and Comcast is the only cable service that is available in my area. SMH. My thing is I didn't receive one letter nor is it on my credit report that I owe anything from 2012 to Comcast so I'll continue to use their internet and on demand service free of charge since they won't let me pay for service that I already had.,
"It doesn't matter how much we, the customer/consumer (this is the Consumer Affairs website) complains about the extremely bad and very expensive service that Comcast does not provide because Comcast and the government are in bed together. Therefore, nothing will happen because Comcast does not have to answer to anyone. I have, as many others so many problems with Comcast only to have them unresolved. The new Xfinity 1 is probably the worst experience with TV watching I have ever had. When I switched, I was forced to have their modem and router together and the damn thing keeps disconnecting my wireless printer. I'm thinking it is when they do their updates in the wee hours in the morning. That is a treat to have to reset the printer & the tv after a reset.The phone service is one step below two soup cans and a string. Voice mail that dumps week old messages, even deleted messages into your mailbox 7 days later. Supervisors give you their phone numbers so you can call them directly, what a joke. They don't answer and they definitely don't return the phone call. DVR doesn't record scheduled recording, either series or just one show but it records other shows. It's selective recording or the NSA getting into our DVR boxes and deciding what we can record and watch.",
My experience with Comcast has been so stressful that I can hardly sleep. For one my bill is 688 and 80% of that is overcharges! My privacy was violated as they let someone have access to my account with my permission and without my SS number. I have called numerous times to try and get answers to why this happened and spoke to numerous people. One lady laughed at me and was extremely rude. Another man told me the person who tried accessing my account gave them my SS number. Every time I call I get different answers or they have no clue what I'm talking about! This place needs to be shut down or have some sort of investigation. There hidden costs and add on every month. One time they came to my house and took our line off the phone pole to disconnect us for no reason! So we had no service for days and nothing was done about that either! This company makes me sick. There is also more I haven't added but don't have time to write a novel.,
"When there was an issue with speed (MBPS), Comcast reps told me to buy their router for 10$ a month. That didn't fix it and I lost the salvage value of my own high-quality router from Best Buy, and am now paying another 10$ a month in addition to those damages incurred to me (and others, so I hear) by Comcast. After this didn't fix the issue, they wouldn't provide recourse and then required that I upgrade for about another 40$ a month to get my service working. These are bait and switch sales practices and are easy regulations. The company can be doing this to many people from the sampling obtained so far, and they will be paying millions. Attorneys, take note. If you don't see this in the news quickly, you better gobble it up for your firms. We're in the process of filing promptly to incentive them to stop doing this to their clients, not to exclude antitrust problems.",
I haven't needed a lot of support. My most recent call was to confirm that I had the latest cable box. The person I spoke to was very pleasant and helpful. I have had very few outages and the system has always been restored in a reasonably quick manner. I am on the 2nd year of a new contract so I get a lot of channels for a reasonable price. When this year is up I will reduce my cable services to maintain a price close to my current price. No problems with reliability. There are services I currently have but I don't use like DVR and many channels I don't watch. If I was paying retail for these services my cable bill would be much higher.,
"I have called multiple times for various problems and it's like I never called before. They have no record of my complaint, only that I have called. I have been waiting two weeks for a downed cable in the middle of our road. The fire dept finally had to come and cut the cable for safety reasons. They seem clueless and could care less every time I have called with an issue. They are a ripoff and continues to try and find ways to pork the customer. Such as, raising internet prices for customers who watch Netflix more than cable. They're going to find a way to make more money any way they can. I have never experienced a worse cable company than Comcast. I've called multiple times for this recent downed wire and they tell me each time the customer service representatives didn't put any notes in the system. Are you kidding me??? They suck, and if I had another option for internet, local news, and sports, I would cancel Comcast in a heartbeat.",
"Tried to pay my bill on Saturday. Was not able to access account online. Got a message my email address wasn't connected to the account. So I called waiting over a hour to make payment. I gave up. Made payment through my bank online. Well they didn't get it fast enough, shut my cable off, charged me fees, and I called today 2-8. After 3 transfers and 45 min later I got my service back on. I was asked 3 times how I sent the money. They are a monopoly. I hate them and there is no other provider allowed in my area. It is so horrible the way they treat their customers.",
"I changed a cable box from one bedroom to another. I called customer service to help reprogram the box. Well what a SURPRISE, they couldn't do it over the phone because they were incompatible. They send a representative over and then charge me a 38$ for coming to program a box! No notice on any fees just a charge. I call customer service. The rep. tries to tell me they changed a wire! Well my ** that happened, no wires changed! The representative basically called me a LIAR when I asked to speak to her manager and flat out refused! There has gotta be something we can do! Any suggestions?",
"I just called to reduce my bill and now Comcast has already increased two ""fees"" on the bill. I got no warning of the increases, and no explanation as to why these increased. Also with the new ""plans"" they offer, you have to pay for premium channels even though they are old movies and they run over and over. I don't want these channels but to get HD service, I have to go with this package and pay a higher price. It isn't fair and they are taking advantage because there is no competition in the area. I wish there was some competition in my area and I would switch in a heartbeat. This is not an isolated complaint, I have had to subscribe as I have no other choice. The bill is a different amount every other month and it never decreases. I am not getting anything better as a result either. Customer service is a joke. They just read from a script.",
This was the second time I had to call as they don't change the programming like they say they are going to. I would not even have Comcast but the apartment complex I live in won't let us have DirecTV. 4 more months of living here till our lease is up. Then we will have DirecTV again. Comcast sucks.,
"We were forced to use Comcast as the apartment building we are in uses those services exclusively. The DVR works 30% of the time, often not recording TV shows we have it set to record and not displaying any on demand shows. This is the biggest waste of money and we will NEVER use this company again.",
"I have never seen such a horrible service like Xfinity. Wish we have TWC or Verizon in my place. I am sharing some of my experiences below: Last week by mistake I clicked the upgrade modem link. I already have a docsis 3.0 modem, so I called the customer support and asked them to cancel the order. They said they took care of it. After 5 days I got the equipment from Comcast. Now I called them and after 30 minutes service desk told me to return it asap. Now I need to find a center and return it. For last few days, I am seeing tv service has been added to my account. I called customer care and told them I don't need TV service, cancel it. They said TV service not added to my account and no clue why it got added to my account. She said my plan is unchanged but I am not sure if Comcast will charge anything extra. After interacting to Xfinity customer care, it seems some time they are not aware of the things or mislead you.",
"Off to Target to buy a router/modem for my ‪XFINITY‬ service. Just in case anyone else was a gullible as I have been I want to let you know. When I signed up for XFINITY I asked if I could buy my own modem rather than ""rent"" theirs. I was told by their representative no I could not. That only theirs would work, no other kind was compatible. I am not the most techno knowledgeable person out there so I believed him. I have bought and paid for that damn thing multiple times over the years and I am pissed. When a friend was telling me about how they got a new modem at Target I was baffled. ""You can do that?"" So I am going to go get one, bring it home and make sure I can make it work. And then I am off to Comcast Cable to give them their damn modem and a piece of my mind (a small one, I don't have much to spare right now.) I feel bad for whoever gets me. I know it's not their personal fault but unfortunately they are going to have to hear about it. What a dirt bag lying piece of ** I dealt with. No idea who it was, I bet they don't work there anymore. So if you were lied to too, get your own modem, save money and tell them what they can do with it. Have a nice day.",
"Comcast raises prices throughout your 2 year contract. Each month my bill has been more than the previous bill. It went from 198.00 to 295.00. When I called Comcast customer service to find out what was going on, she stated that all the promotion deals are rolling off due to it coming to a end of my contract. If this was a 2 year contract why are all the promotions rolling off monthly before the 2 years expired. Then she tells me my next month bill will be much more than 295.00. I will be canceling and finding a new provider. This company has been a headache for me for years. Really Bad Company.",
"On August 11th I was watching a show on demand. All of a sudden my tv froze and my phones and Internet stop working also. I called Comcast and got disconnected 3 times. Was bounced around to multiple people and had to repeat myself over and over again, never mind the wait time. Finally someone fixed my phones and Internet. To this day August 14, my cable on my main TV and demand doesn't work. I'm a court officer in a busy busy court, Comcast stated that they would call my cell phone when they were going to be at my house on 8/14/15, surprise they never did.I asked my chief if I could leave because they were supposed to call between 1-4. I got home at 1:30 and received a message on my HOME PHONE that they was here and no one was home and that I would have to reschedule. So I left my job early, having to use my time and I haven't had cable or demand since 8-11. But my bill is paid every month. I think this company is the most unprofessional incompetent company I have ever dealt with. I plan on reporting them to the better business and telling anyone and everyone not to ever get Comcast. You would think that they would want to be proud of their company and do whatever it takes to help these customers. Not them. They are shameful.",
"Called Comcast to set a payment arrangements for a old account. The first gentleman I spoke with (wish I could remember his name) was a delightful, very sweet, helpful. Had patience pulled up my old account and transferred me to the collection department where I would be assisted further. After being on hold for 35 mins!!! The employee ""Phill **"" in collections was very loud, rude, didn't help me at all!!! He asked for a account number which I do not have, and considering another employee was able to locate a old account with no issue! Why can't he??? I asked to speak with a supervisor... He said they were all busy. I implied I would wait for one to be available (I work in a call center, a superior should be available at all times). He insisted that they were helping with calls due to the high call volume... which is ridiculous to me. Comcast you should get more employees if you have to take your superiors away from their job to help with another job!!! The agent ""Phill **"" was not customer services... He did not go out of his way to help me!!!! He was not polite nor sound friendly nor like he was smiling through the phone. He had a very angry tone and was very short. He is not what I want to speak to when I call a company - your employees represent you!!!Customer satisfaction is always a number one goal!!! Your call center employees are your direct contact to your customers!!! If a employee can not deal with stress, ongoing pressure, high call volume and can't assist a customer engaged and be personal make sure their experience with you was the best you could possible be, then fire them!!! I want someone that can help me after sitting on hold for 35 mins, not a employee that won't go above and beyond to assist me with my problem!!! You're called customer service representative for a reason - you represent Comcast. Comcast do a better job with the employees you hired. Horrible business. Also make sure you guys do coaching with your employees!!! Listen to the call with them. Help them fix errors or mistakes so they can become better!!!",
"Absolute worst customer service I have ever had. They transfer you to three separate people with thick accents and terrible reception who need you to tell them the information over and over again until they go, ""Oh, it looks like it's expired/not available/out of service."" SWITCH to another to provider and break up their monopoly. Please.",
I went to Comcast office and I ask if I can pay my final bill but the guy told me that he was going to mail it to me to my new address. I received a bill for $345.00 and I paid that bill because I thought it was my final bill and all of a sudden I found another final bill for 97.36 within two weeks of paying. I called customer service and talked to a guy name Net and explained to him about my reason for calling that I received a letter from credit bureau about the $97.36 and he hanged up on me. I was really surprise and mad that I never even received notice from them that I owe them money. I always pay my bill on time and I don't believe that it was necessary for them to take it that far for only $97.36. BE AWARE OF COMCAST BECAUSE WHAT THEY TELL IS NOT WHAT THEY DO. Make sure to record them when you have them on the phone. ,
"I have had problems with Comcast forever. Speaking with representative is useless and getting things resolved is frustrating. Recent conversation dealt with moving out-of-state, no service provided but yet charging term fee! Avoid!!",
I think Comcast are con artist and there should be an investigation because they tell you one price and make it easy till you get the high bill. Also they charge a month advance. Then if you move they charge 2 month in advanced. I think they are gold diggers.,
I have been in queue for online chat with a customer service rep for 40+ minutes. I've been 1 in queue for 20 minutes. I chose online chat because I didn't want to get stuck on hold for an hour on the phone. I have one simple question--where is my self-service box that was scheduled to arrive 3 days ago? I can't get internet access without it.,
I find it amazing that Comcast can run a commercial about customer service. Their customer service is the poorest that I dealt with in my life. When I asked to go to corporate level I'm told I can mail them a letter. Unbelievable. If you have any choice definitely don't pick Comcast.,
"DO NOT SUBSCRIBE TO COMCAST. Due to the virtual monopoly that Comcast holds over the Greater Boston area I had no choice but to use this company. They are HORRIBLE! I just finished my 5th, that's right, 5th call with Comcast this month to dispute my bill. Originally, I called because a bundle deal I had apparently expired, even though when I initially signed up for the bundle I was told there would be no expiration on the rates. I called and explained the situation and was told that there had been a mistake and rates had gone up. I was then forced into signing up for a bundle again (or so I thought) because I was told that it was the cheapest rate. Since that first call three weeks ago, my bill has risen by almost 40$. Each time I call, I then go look at my account and Comcast has added more fees on instead of reducing them as I was guaranteed they would. I have basic cable and high-speed internet and my current bill is MORE than what I used to pay with full cable and Internet!!! I called again today and was told that the bundle I was offered was non-existent! Apparently there was a technical error on their computer system yet I am being held responsible for this bill. Comcast never bothered to notify me this deal was unobtainable nor did they offer any insight into how to rectify the problem. All I was told, by a senior supervisor, was that I had to pay the bill and it would be rectified next month. I told the supervisor I was moving out of the state and would be canceling Comcast this month so there would be no future bills. Supervisor essentially told me ""tough luck"" and then became defensive when I said I felt manipulated by this company. I told the supervisor that I wanted to cancel everything right then and there, but apparently that's too much for Comcast to handle. Agents can't rectify cancellation issues and I was told I have to call another division, no contact information, no helpful tips, nothing. This is the WORST company I have ever dealt with and their service is something comparable to toxic sewage. In fact, I am going to make it my personal mission to help everyone I know and encounter to also become disillusioned with this horrendous business model. I will be sure to post reviews of this nature on every site that I can and I will never, ever use this company again. I would rather be mauled by a pack of wolves than give Comcast my business and you should be aware that if you use this company you will be ROBBED!!! If there was a choice more emphatic than angry, like ""volcanic eruption of rage"" I would have chosen that. Angry is the biggest understatement of the century. Get it together Comcast. Oh wait you can't, because your very foundations are the definition of vile and evil.",
"My business relationship with Comcast began June of 2014. I had recently moved into a rooming house with multiple cable hookups and wanted to get internet access. Since they are the only provider in the area I called their ""customer service"" number. I was told that I could easily go to the local office to pick up a self install kit to get up and running. So off I drove to the address they provided and upon entering discovered that I was given the address of their local marketing office! No worries, they gave me the correct address and I proceeded down the road to pick up my easy self install kit. Got to the office-great service, got home, and hooked up my computer to the cable in my room. My computer was online, but my neighboring roommate lost his cable service. Apparently the line that was installed in my room was actually his, so called ""customer service"" and set up an appt to have a tech to install (costing me more $$$). Success! Internet was installed and all was well... but in March 2015 received a call from a Comcast telemarketer offering me cable tv service added to my internet for only 5.00 more a month! Good deal so I said why not, she proceeded to send me an easy self install kit. Upon receipt, realized that with the way my cable was set up I could not self install. Did not want to pay for another tech to come out, so within 3 days took a trip to my local Comcast office and was assured that I would not be charged for the cable TV and my acct would return to the previous billing. Surprise! First week of April received a bill from Comcast. For the months prior to the telemarketing offer I was paying about $52.00 for internet service (overpriced in my opinion, but my only option). The bill was for $105.00!!! Called the customer service # and spoke to a nice guy who said he could credit me $10.00 for the cable tv self install kit, but I would have to talk to a representative in special relations to resolve the rest. He did agree that I should not be charged double for the same service. After being on hold for several minutes special relations rep told me that although I was offered a 30 day money back guarantee by the telemarketer, and I did cancel the cable TV service within 3 days, the offer I signed up for 9 months previous did not exist anymore! After going around in circles with her for several minutes she said she could sign me up for an ""economy"" internet plan for the same price I was paying previously (approx $52.00 with rented modem). She recommended that I pay my bill $95.00 (after the generous $10.00 credit!) and all would be resolved in my next billing period. So I checked out my acct online last week, and guess what??? I am still signed up for a cable TV and internet bundle for $105.00 month!!! I cannot deal with the telephone customer service"" people anymore, so will return to my local Comcast office to cancel everything asap. People should not be treated this way!!!",
"I am so frustrated. It's been over a week and I am still not fully connected. Here are my string of complaints: The sales representative only gave me 2 options to get my cable equipment, either spend $10 to receive it by mail or $80 to have a technician to install it. She did NOT mention that I could simply pick it up and get my cable hooked up right away. Oh, but of course, when I mentioned if I could get it faster, she said I could pay more for shipping to receive it the next day.The box came 5 days later with a set top box and two other smaller cable boxes (far too many). NOWHERE was the internet modem, which was most important part and the whole reason I'm stuck with Comcast in the first place (Sadly, Comcast monopolizes my area). I thought I had everything needed at first (the instruction manual is terrible), so I called to get the set top box activated. After a half hour of struggling with the sales representative, she told me that I needed to call the billing department to receive my services.Next day called customer service, surprise surprise, I didn't need to call the billing department. I also figured out through my own research that I needed that internet modem. Picked up the internet modem at the local Comcast store. Had to call 2 sales representatives to finally get it working. Then I find out that I need a splitter in order to use the same cable outlet for both internet and TV.Go to the local Comcast store AGAIN to pick up the splitter. Returned the extra little cable box I was sent (What a waste of packaging when I could've had that internet modem instead). Everything is hooked up and I call to set up the cable. Robot sends me to a sales representative and guess what? THE SET TOP BOX DOESN'T WORK. Looks like yet another trip to the Comcast store. I mean really, is it so hard to pack up the right things and make sure everything works? I want my $10 spent for shipping, this is ridiculous. I would never recommend Comcast to anyone EVER.",
"When I walked into the local Comcast store to pick up a new cable box, the young woman at the desk noticed that I had been billed for a piece of equipment that I never requested, had, or used. She said that I had been billed for this ""adapter"" or something like that, since 2009 and should be reimbursed (or credited) by Comcast. (She was lovely.)Fast forward about a year, I returned to Comcast to see about what had been done about the overcharging and it appears nothing had been done. I was assured that it would be fixed and was given a ticket number. Bear in mind that I have automatic deductions (from my bank account) for my monthly bill, and Comcast has not sent either paper or electronic bills in years.As per my request, I received an electronic bill the other day. They only credited me for the last six months of overbilling. I called and was told that the two agents that I had spoken with in person were wrong about my reimbursement - that Comcast has a strict policy that they will only, in essence, fix any of their mistakes from the last six months. I explained that I had spoken with someone a year ago and nothing was done. I also explained that I had no knowledge of being overcharged since they never sent me a bill.I'm basically an easy-going person, but when something this egregious happens to me, and most probably is also happening to others, I became, well, apparently 1 Star indicates ""angry"" so I'll leave it at that. I'm waiting for a supervisor to call me back (I'm not holding my breath) but the amount of time I've already spent trying to remedy THEIR mistake is ridiculous. How can they operate a business where they recognize their mistake and yet only agree to repay a small portion of a sum that they realize was erroneously deducted from my bank account?",
"A few days ago, I spoke to a salesperson to get service. I agreed to pay $109 without phone service, and that was the deal I made with them, plus $12 extra in order for me to get 105 Mbps of internet speed. I was also charged for three boxes. When the technician showed up and set up my service in my home, I got 12 Mbps instead of 105 Mbps. When I asked him why this had happened, he said that I should call the company so they could send me a technician from a different department to get a booster so I could get the internet speed I originally paid for. One of the customer service representatives told me to go to Best Buy and purchase the booster since the company didn't have them anymore. Another representative told me that my area does not have 105 Mbps. Now I am getting confused because the salesperson told me that I could get 105 Mbps, and the website also says I can get 105 Mbps. But now, the customer service representative is telling me that I cannot reach 105 Mbps, so now I'm confused. I'm urging every Comcast customer to check their internet speed, and see if it's what they're paying for. Comcast lies about what they promise to provide, and overcharges!",
"Is there ** minus stars??? I asked for a lower package, by taking off TV services, and to reduce the speed of the internet. What I found is that I am paying more (for the most expensive package of TV + phone services and internet!!! ) WT**!!! But I am only getting a slower speed service!! Those customer services/so called technicians gotta get it together! If you don't want to work, then don't! There is a reason why you are answering phone calls, first of all. It shouldn't be such a hard job, suck it up! Don't take your own problems on customers!",
"I contacted Comcast to set up cable and internet at our new apartment. I spoke with a representative and agreed to a deal where we would get cable, internet, and a DVR for around 100/month. Pretty good. A technician came 4 days later and hooked everything up. The internet worked fine but the cable box was buggy. The next day, I unplugged it and rebooted it which worked for a day and then nothing. On the next evening, I called back and after about 30 min on the phone, the rep said that a technician needed to come and fix it. This was on a Friday and a tech wasn't available until Monday. Monday: tech comes and says a cable was loose and that the box should be fine (I was suspicious, but I let it go). The box was fine... for an hour. When I got home from work, the box is completely frozen and won't change channels or anything. Also, that Monday, I received a bill for $260! I call Comcast, and tech support tries to tell me that I'm using the remote incorrectly. I'm not, I know how to work the remote, I promise you. So needless to say, I'm getting upset. So I tell them that I no longer want their cable service and just want the internet that was advertised at $40/month. They tell me that offer is available to new customers only, and since I am an existing customer, I would have to pay $80/month for the service. Seriously!? That was it, I cancel everything. Unfortunately, there are no real alternatives in my area. Comcast needs more competition. They have so much control that they can easily get away with hidden charges and fees and extremely poor customer service because only they can provide broadband service to a public increasingly reliant on such a service. It's time that we demand an alternative to this corrupted company.",
"Comcast must be the most incompetent company I've ever dealt with!!! I never write these types of reviews, but I already wasted so much time with Comcast, that I may just as well waste more to let others know to stay away from them if they don't want to be frustrated by their incompetency and lack of customer service. I had their cable/internet service at the previous address and moved. They scheduled a technician to hook up service. I had to stay home from work. He came but told me he was the wrong guy, because the house needed a rewire, but he'd put in a ticket. Nobody contacted me, so I called customer service a few days later. They said a technician is already scheduled for tomorrow. So I stayed home from work again. The technician came and, incredibly, told me the same thing: that he's the wrong guy and that Comcast needs to send somebody from another department to do a ""rewire."" He said he'd put in a ticket and to call the next day to confirm.I called the next day, but they couldn't find anything. I spent about 3 hours on the phone trying to reach the right group to schedule a rewire and get free backup wifi service from them in the meantime. They said I'd have to call another department to get the backup wifi service. So I did; only to have that other department tell me that I can't get free wifi service because I don't have Comcast service. I tried to explain that I didn't have Comcast service because they sent the wrong technician TWICE. They said I had to talk to another department and connected me. After being on hold for 30 minutes, the person from the other department told me I would have to call the wifi department. I told them that's who I talked to earlier. So they told me they couldn't do anything, but recommended to call a different department the next day to schedule the rewire job.I called that other department the next day and, after 30 minutes on the phone, found somebody who seem to know what's going on. They said they'll schedule the rewire technician to come by in a week. That's today. So I just received a call from Comcast early, saying the technician will be coming 1.5 hours late (after the 2-hour window they gave me). Out of caution, I asked them if the technician is coming to do the rewire job. They then told me NO! Their group doesn't do any rewire jobs and that needed to be done by the rewire group at Comcast. I just about lost it!!! The service person said they'll call the Comcast rewire group, put me on hold for 15 minutes, and said somebody from over there would call me right away to schedule a rewire appointment. That was an hour ago.CAN ANYBODY BELIEVE THAT??? I'VE NEVER DEALT WITH A COMPANY WHO SHOWED THAT LEVEL OF INCOMPETENCE, DYSFUNCTIONALITY, AND TOTAL DISRESPECT OF THEIR CUSTOMERS' TIME!!!!",
"I had been a customer of Comcast for 8 years and until we moved we had not experienced much in the way problems with internet and On Demand. When we moved into our new house we started getting intermittent internet connections. We also started having problems with On Demand access. Every time we had a problem Comcast said they couldn't duplicate it and there was nothing wrong with the service.What finally made me decide to move to another service was that I decided to pay my bill early. It showed as an option on the website even though I was enrolled in Auto Pay. Well a few days later they deducted the payment again from my checking account. When I called they said that I would have had to cancel my enrollment in Auto Pay before paying early. It said nothing about that on the website. It took them 3 weeks to process the refund to my account.I cancelled my service on January 29th. On February 9 they deducted another month's payment from my account. Then they sent me a bill with a credit on it for a partial month rather than just deducting what I really owed them for for the February 9th bill. When I called to see when I was going to get my money back, I was told that it takes 4-5 weeks. That's ridiculous that they will have had my money for a total of 2 months. I would look at other providers first before doing anything with Comcast.",
"Why does it take five appointments and a dozen calls to get service? I have had comcast for many years but they contract with untrustworthy technicians. On this day I have been waiting and given a third time for which I can expect the tech to come to my home. I haven't even taken into consideration all the snow we had had in Boston but everywhere I look I see XFINITY trucks but they will not come to my house. I had one lie and said he came but nobody answered the door. Fresh snow had been falling all morning and there were no tracks indicating that someone had been to the house but this is acceptable!So far to date I have been given $120 in credits for NO SHOW TECHS! Today as I sit here waiting since 7:30 am for my scheduled appointment slot of 8 - 10, 11 - 12 and this last time 1 - 1:30 the rep guaranteed me I would get installation today! I have spent countless hour waiting on tech to install my cable, phone and Internet. If there were a better cable supplier I would go with them but I heard horror stories about Directv, RCN and Verizon.",
